g01-gate-first	pi (unused)	-	orchy run, gate is the first step	waiting	yes	stops before any step, prints the question and the resume hint, exits 3
g01-gate-first	pi (unused)	-	orchy resume <id> '{"go":true}'	done	yes	call step after the gate reads {"approve":{"go":true}}
g01-gate-first	pi (unused)	-	orchy resume <id> '{"go":true}' again, on the finished run	refused	yes	"the run … is done, so it takes no value", exit 1
g01-gate-first	pi (unused)	-	orchy resume <id> --from approve, back to the gate	waiting	yes	gate re-asked, earlier answer kept in history
g01-gate-first	pi (unused)	-	orchy run then resume, second whole pass	done	yes	-
g01-gate-first	pi (unused)	-	orchy run then resume, third whole pass	done	yes	-
g01-gate-first	claude	-	POST /api/flows/1/runs, then POST /api/runs/:id/stop while waiting	stopped	yes	{"stopped":true,"abandoned":true}
g01-gate-first	claude	-	answer that stopped run over the API and at the CLI	refused	yes	both say "the run … is stopped, so it takes no value"
g01-gate-first	claude	-	orchy resume <id> (no value) on the stopped run, then answer on the page	refused	no	page says waiting and offers the form, daemon row says stopped and refuses the answer
g02-gate-middle	pi (unused)	-	orchy run, gate in the middle	waiting	yes	the call step before it ran first, then the run stopped
g02-gate-middle	pi (unused)	-	resume '{"go":"yes"}' then '{}' then '{"go":true,"extra":1}'	refused	yes	two exact contract messages, then the extra key passed (no additionalProperties)
g02-gate-middle	pi (unused)	-	orchy run then resume, second whole pass	done	yes	-
g02-gate-middle	pi (unused)	-	orchy run then resume, third whole pass	done	yes	-
g02-gate-middle	claude	-	POST /api/flows/2/runs then POST /api/runs/:id/resume	done	yes	the answer job queues; the run settled about 10s later
g02-gate-middle	claude	-	same over the API, watched on the page	done	yes	page shows "What before answered" with the earlier step's value
g03-two-gates	pi (unused)	-	orchy run, two gates ready in one wave	waiting	no	only the first question is shown; nothing says a second one waits
g03-two-gates	pi (unused)	-	answer both gates one after the other	done	yes	the joining step gets both values
g03-two-gates	pi (unused)	-	two people answer: bob answers question one, alice's "no" arrives next	done	no	alice's no was recorded against question two; resume cannot name the gate
g03-two-gates	pi (unused)	-	orchy run, answer both again	done	yes	-
g03-two-gates	claude	-	POST /api/flows/3/runs, answer gate one over the API, gate two at the CLI	done	yes	the two surfaces answer the same run without disagreeing
g04-contract	pi (unused)	-	orchy run, gate holding string, number, boolean, array and an optional field	waiting	yes	-
g04-contract	pi (unused)	-	answer with every field filled, note included	done	yes	value stored whole
g04-contract	pi (unused)	-	answer with score 99 (maximum 10)	refused	yes	'the value of "verdict" breaks the contract at "/score": must be <= 10'
g04-contract	pi (unused)	-	answer with findings [1,2]	refused	yes	'…at "/findings/0": must be string'
g04-contract	pi (unused)	-	answer with the optional field left out and an empty array	done	yes	-
g04-contract	claude	-	POST /api/flows/4/runs, answered on the page with score 99	waiting	no	HTTP 200, form silently re-rendered, reason only on the runs list as "did not start"
g04-contract	claude	-	same run: malformed JSON through "Write JSON"	waiting	no	uncaught SyntaxError in the browser, nothing shown on the page
