cond-is	none (call steps only)	none	orchy run cond-is.yaml --with '{"severity": "high", "payload": {"a": 1}}'	done	yes	ran sort, is_high, plain_high, is_object; skipped is_null
cond-is	none (call steps only)	none	orchy run cond-is.yaml --with '{"severity": "high", "payload": {"a": 1}}'	done	yes	ran sort, is_high, plain_high, is_object; skipped is_null
cond-is	none (call steps only)	none	orchy run cond-is.yaml --with '{"severity": "low", "payload": {"a": 2}}'	done	yes	ran sort; skipped is_high, plain_high, is_object, is_null
cond-is	none (call steps only)	none	orchy run cond-is.yaml --with '{"severity": null, "payload": {"a": 1, "b": 2}}'	done	yes	ran sort, is_null; skipped is_high, plain_high, is_object
cond-is	none (call steps only)	none	orchy run cond-is.yaml --with '{"severity": 1, "payload": [1]}'	done	yes	ran sort; skipped is_high, plain_high, is_object, is_null
cond-not	none (call steps only)	none	orchy run cond-not.yaml --with '{"severity": "high", "payload": {"a": 2}}'	done	yes	every step ran: sort, not_low, not_missing, not_null, not_object
cond-not	none (call steps only)	none	orchy run cond-not.yaml --with '{"severity": "low", "payload": {"a": 1}}'	done	yes	ran sort, not_missing, not_null; skipped not_low, not_object
cond-not	none (call steps only)	none	orchy run cond-not.yaml --with '{"severity": null, "maybe": "x"}'	done	yes	ran sort, not_low, not_object; skipped not_missing, not_null
cond-empty	none (call steps only)	none	orchy run cond-empty.yaml --with '{"findings": ["a"], "note": "x", "bag": {"a": 1}, "flag": false}'	done	yes	ran sort, has_findings, flag_not_empty, absent_empty; skipped no_findings, note_empty, bag_empty
cond-empty	none (call steps only)	none	orchy run cond-empty.yaml --with '{"findings": [], "note": "", "bag": {}, "flag": true}'	done	yes	ran sort, no_findings, note_empty, bag_empty, flag_not_empty, absent_empty; skipped has_findings
cond-empty	none (call steps only)	none	orchy run cond-empty.yaml --with '{"findings": 0, "note": null, "bag": "", "flag": []}'	done	yes	ran sort, has_findings, note_empty, bag_empty, absent_empty; skipped no_findings, flag_not_empty
cond-empty	none (call steps only)	none	orchy run cond-empty.yaml --with '{"findings": {"0": "a"}, "note": " ", "bag": [0], "flag": 0}'	done	yes	ran sort, has_findings, flag_not_empty, absent_empty; skipped no_findings, note_empty, bag_empty
cond-lt	none (call steps only)	none	orchy run cond-lt.yaml --with '{"score": 1, "name": "seven"}'	done	yes	ran sort, under_seven, under_three; skipped name_under_seven, under_zero
cond-lt	none (call steps only)	none	orchy run cond-lt.yaml --with '{"score": 7, "name": 3}'	done	yes	ran sort, name_under_seven; skipped under_seven, under_three, under_zero
cond-lt	none (call steps only)	none	orchy run cond-lt.yaml --with '{"score": 3, "name": null}'	done	yes	ran sort, under_seven; skipped under_three, name_under_seven, under_zero
cond-lt	none (call steps only)	none	orchy run cond-lt.yaml --with '{"score": "2", "name": true}'	done	yes	ran sort; skipped under_seven, under_three, name_under_seven, under_zero
cond-lt	none (call steps only)	none	orchy run cond-lt.yaml --with '{"score": -5, "name": [1]}'	done	yes	ran sort, under_seven, under_three, under_zero; skipped name_under_seven
cond-gt	none (call steps only)	none	orchy run cond-gt.yaml --with '{"score": 9, "name": "8"}'	done	yes	ran sort, over_seven, over_three, over_minus_one; skipped name_over_seven
cond-gt	none (call steps only)	none	orchy run cond-gt.yaml --with '{"score": 3, "name": 8}'	done	yes	ran sort, name_over_seven, over_minus_one; skipped over_seven, over_three
cond-gt	none (call steps only)	none	orchy run cond-gt.yaml --with '{"score": 0, "name": {"a": 1}}'	done	yes	ran sort, over_minus_one; skipped over_seven, over_three, name_over_seven
cond-gt	none (call steps only)	none	orchy run cond-gt.yaml --with '{"score": true, "name": [9]}'	done	yes	ran sort; skipped over_seven, over_three, name_over_seven, over_minus_one
cond-missing-key	none (call steps only)	none	orchy run cond-missing-key.yaml --with '{"severity": "high"}'	done	yes	ran sort, loose, ghost_empty; skipped on_optional, on_ghost
cond-missing-key	none (call steps only)	none	orchy run cond-missing-key.yaml --with '{"severity": "high", "optional": "yes", "ghost": "yes"}'	done	yes	ran sort, loose, on_optional, on_ghost; skipped ghost_empty
cond-missing-key	none (call steps only)	none	orchy run cond-missing-key.yaml --with '{"severity": "low", "ghost": ""}'	done	yes	ran sort, loose, ghost_empty; skipped on_optional, on_ghost
cond-nested	none (call steps only)	none	orchy run cond-nested.yaml --with '{"result": {"severity": "high", "count": 2}}'	done	yes	ran sort, loose, whole_object; skipped part_of_object, dotted_path
cond-nested	none (call steps only)	none	orchy run cond-nested.yaml --with '{"result": {"severity": "high"}}'	done	yes	ran sort, loose, part_of_object; skipped whole_object, dotted_path
cond-nested	none (call steps only)	none	orchy run cond-nested.yaml --with '{"result": {"severity": "low", "count": 2}}'	done	yes	ran sort, loose; skipped whole_object, part_of_object, dotted_path
cond-is	none (call steps only)	none	orchy run cond-is.yaml --with '{"severity": "high"}'	done	yes	ran sort, is_high, plain_high; skipped is_object, is_null
cond-ruled-out	none (call steps only)	none	orchy run cond-ruled-out.yaml --with '{"severity": "high"}'	done	yes	every step ran: sort, page, notify, record
